fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220907 211556	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1033	TRUE	0.010333572156436	0.200264659367767	423	463	0.79844028341966	51
20220907 211600	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	31	TRUE	0.177302140400817	0.999612343591775	235	329	0.793313848462269	52
20220907 211633	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1218	TRUE	0.0110829650655716	0.265557811160337	513	56	0.799802986207039	53
20220907 211710	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	2397	TRUE	0.0116350864618676	0.201678542528163	1152	1024	0.791541435953946	54
20220907 211715	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	298	TRUE	0.299824073962458	0.206330212680195	2074	890	0.777343303841347	55
20220907 211718	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	110	TRUE	0.299965125333645	0.200523087861064	1209	322	0.789626719518371	56
20220907 211728	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	321	TRUE	0.0381824960058783	0.320835278383328	554	518	0.799226969073123	57
20220907 211753	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	906	TRUE	0.0102129312492823	0.890058020448387	537	384	0.796375826911899	58
20220907 211814	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	361	TRUE	0.0254243778414484	0.303247628760873	230	197	0.798848544360216	59
20220907 211851	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	972	TRUE	0.0101702531279318	0.363566050737188	386	925	0.799010729034721	60
20220907 211854	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	83	TRUE	0.29959770831963	0.99920970522719	1213	451	0.787699765626896	61
20220907 211928	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1199	TRUE	0.0101304275269211	0.405836876345451	180	10	0.799520094723754	62
20220907 212003	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	849	TRUE	0.0103004510494913	0.266607783729201	292	15	0.799402232455565	63
20220907 212013	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	387	TRUE	0.0503827581094561	0.200058189603225	571	17	0.798734209013654	64
20220907 212050	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1292	TRUE	0.010138700753892	0.388925375000962	494	663	0.798638852284116	65
20220907 212136	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	598	TRUE	0.0100872626396291	0.548560168340104	194	515	0.798644073231786	66
20220907 212140	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	75	TRUE	0.182725265510919	0.296900134062749	168	10	0.794413351840663	67
20220907 212143	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	62	TRUE	0.208052401642341	0.998666192240909	557	1024	0.793857973194389	68
20220907 212217	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1024	TRUE	0.0101854144478862	0.998305703001152	2	13	0.797762912277804	69
20220907 212310	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	437	TRUE	0.010005322161706	0.99974712038025	124	1022	0.795737923159117	70
20220907 212356	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1477	TRUE	0.0103039027577848	0.308080321900641	102	12	0.800370444794666	71
20220907 212400	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	82	TRUE	0.231463719137159	0.303625170213347	535	1024	0.796468878003804	72
20220907 212404	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	195	TRUE	0.299683582612962	0.203663861020647	1438	1022	0.789414174023942	73
20220907 212439	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	638	TRUE	0.0102591664933647	0.909463030326654	108	20	0.798408099362911	74
20220907 212444	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	161	TRUE	0.201039822735227	0.201134969337303	936	1024	0.790655360733279	75
20220907 212557	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	435	TRUE	0.0100691275477294	0.508338554827419	90	87	0.797849291044873	76
20220907 212633	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	2146	TRUE	0.010854110925867	0.209517459014971	865	83	0.794076128021383	77
20220907 212637	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	39	TRUE	0.175359521774159	0.54996300815196	367	1024	0.794234022459615	78
20220907 212714	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1479	TRUE	0.0100887040672359	0.284258154617919	540	356	0.799252561464674	79
20220907 212718	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	32	TRUE	0.231900228651177	0.322123873426105	432	516	0.795996613106538	80
